title,date
"Battle of Alsasua",1834-04-22
"Capture of Demerara and Essequibo",1782-01-22
"Spanish general election, 1903",1903-04-30
"Icelandic parliamentary election, 2017",2017-04-27
"List of ONE Championship events",2016-03-18
"Operation Sutton",1982-05-23
"South Korean legislative election, 2012",2012-04-11
"UFC Brazil",1998-10-16
"Florida Chief Financial Officer election, 2010",2010-11-02
"Battle of Sutherland's Station",1865-04-02
"Battle of Jerusalem",1917-12-30
"1991 FA Cup Final",1991-05-18
"United Kingdom general election, 1923",1923-12-06
"Western Australian state election, 1953",1953-02-14
"Night of Champions (2015)",2015-09-20
"Puerto Rican general election, 2016",2016-11-08
"Santa Catarina gubernatorial election, 2014",2014-10-05
"Battle of Ningpo",1842-03-10
"Indian general election, 1962",1962-02-25
"Republican Party presidential candidates, 2016",2016-11-08
"Battle of Calcinato",1706-04-19
"Arkansas gubernatorial election, 2006",2006-11-07
"Battle of Kotesashi (1333)",1333-05-11
"1980 FA Cup Final",1980-05-10
"Vermont gubernatorial election, 1946",1946-11-05
"1946 Taça de Portugal Final",1946-06-30
"Battle of Rugao",1945-09-21
"Zhoucun–Zhangdian Campaign",1948-03-11
"California State Controller election, 2010",2010-11-02
"1957 San Francisco earthquake",1957-03-22
"Belgian general election, 1872",1872-06-11
"Bombardment of the Selee River Forts",1871-06-01
"Tanna by-election, 2013",2013-05-27
"Battle of Montjuïc (1641)",1641-01-26
"Argentine general election, March 1973",1973-03-11
"Louisiana's 5th congressional district special election, 2013",2013-11-16
"1626 Naples earthquake",1626-07-30
"Missouri gubernatorial election, 1874",1874-11-03
"United States Senate election in Texas, 1984",1984-11-06
"Dorset County Council election, 2013",2013-05-02
"Battle of La Arada",1851-02-02
"Wan Chai District Council election, 2011",2011-11-06
"Minnesota gubernatorial election, 1946",1946-11-05
"United States presidential election in Maine, 1980",1980-11-04
"Italian presidential election, 2006",2006-05-10
"Mississippi Democratic primary, 2008",2008-03-11
"Battle of Brunete",1937-07-25
"Battle of Glentaisie",1565-05-02
"Battle of Port Gibson",1863-05-01
"Iraq spring fighting of 2004",2004-06-24
"Icelandic parliamentary election, 2009",2009-04-25
"2008 Damxung earthquake",2008-10-06
"1979 Egypt Cup Final",1979-04-27
"Danish Folketing election, 1947",1947-10-28
"California State Assembly election, 1996",1996-11-05
"Battle of Prek Klok I",1967-02-28
"South African general election, 1915",1915-10-20
"South African general election, 1938",1938-05-18
"Sicilian Vespers",1282-04-28
"Irish presidential election, 1945",1945-06-14
"Eelam War I",1983-07-23
"Operation Eagle's Summit",2008-08-27
"Eastern District Council election, 2015",2015-11-22
"Louisiana gubernatorial election, 1916",1916-04-18
"SummerSlam (2007)",2007-08-26
"Ecuadorian general election, 1952",1952-06-01
"Turkish Parliament Speaker election, 2013",2013-07-02
"United States House of Representatives elections in Florida, 1888",1888-11-06
"Battle of Merdjayoun",1941-06-24
"K-1 World Grand Prix 2001 Final",2001-12-08
"Battle of Trevilian Station",1864-06-12
"2007 Taça de Portugal Final",2007-05-27
"United States presidential election in Delaware, 2000",2000-11-07
"Oregon gubernatorial election, 1926",1926-11-02
"Alabama gubernatorial election, 1990",1990-11-06
"1978 Cannes Film Festival",1978-05-16
"Pennsylvania gubernatorial election, 1902",1902-11-04
"United States presidential election in New York, 1988",1988-11-08
"Texas gubernatorial election, 1849",1849-08-06
"Campaign to the North of Nanchuan County",1949-11-01
"United States presidential election in Alaska, 2000",2000-11-07
"Siege of Surakarta",1949-08-07
"Dublin West by-election, 2011",2011-10-27
"Battle of Frisches Haff",1759-09-10
"2005 UEFA Cup Final",2005-05-18
"North Star affair",1861-05-14
"Portuguese local election, 2009",2009-10-11
"Battle of Wilhelmsthal",1762-06-24
"Missouri gubernatorial special election, 1825",1825-12-08
"Malaysian general election, 2008",2008-03-08
"Battle of Fort Myers",1865-02-20
"2014 UEFA Europa League Final",2014-05-14
"Convoy OA 178",1940-07-04
"Ontario general election, 1934",1934-06-19
"1985 Luquan earthquake",1985-04-18
"United States Senate special election in Indiana, 1990",1990-11-06
"United Kingdom general election, 2010 (Glasgow)",2010-05-06
"1942 Cupa României Final",1942-08-09
"2000 Norwegian Football Cup Final",2000-10-29
"Grey by-election, 1918",1918-05-29
"Tacnazo insurrection",1969-10-21
"Battle of Kettle Creek",1779-02-14
"Battle of Smithfield Crossing",1864-08-29
"Cincomarzada",1838-03-05
"United States presidential election in New Jersey, 1912",1912-11-05
"2003 Bulgarian Cup Final",2003-05-21
"1997 Copa del Rey Final",1997-06-28
"Bocaue local elections, 2013",2013-05-13
"1983 European Cup Winners' Cup Final",1983-05-11
"Expedition to Hernando",1863-08-16
"Juicio Final (1991)",1991-12-13
"Battle of Scary Creek",1861-07-17
"Battle of Lebanon",1863-07-05
"United States House of Representatives elections in Pennsylvania, 1802",1802-10-12
"20th Moscow International Film Festival",1997-07-29
"1989 Soviet Cup Final",1989-06-25
"Raid on Lunenburg, Nova Scotia (1756)",1756-05-08
"Portuguese presidential election, 2006",2006-01-22
"Missouri gubernatorial election, 1856",1856-08-04
"New Mexico Republican primary, 2008",2008-06-03
"United States Senate elections, 1918",1918-11-05
"2013 Football League One play-off Final",2013-05-19
"Third Battle of Murfreesboro",1864-12-05
"United States Senate election in North Carolina, 1980",1980-11-02
"1950 Scottish League Cup Final",1950-10-28
"14 July Revolution",1958-07-14
"Somaliland general election, 2017",2017-03-28
"Siege of Bridgeport",1862-04-23
"Texas's 19th congressional district special election, 2003",2003-06-03
"Lithuanian presidential election, 2014",2014-05-11
"Battle of Corunna",1809-01-16
"Rey de Reyes (2004)",2004-03-21
"United States House of Representatives elections in New York, 1796",1796-12-15
"June 1941 uprising in eastern Herzegovina",1941-07-07
"Battle of Roche-au-Moine",1214-07-02
"IWRG La Isla",2014-08-31
"Skirmish of Littlestown",1863-06-30
"1988 All-Ireland Senior Club Hurling Championship Final",1988-03-17
"1929 All-Ireland Senior Football Championship Final",1929-09-22
"Battle of Sourton Down",1643-04-25
"Cuban Missile Crisis",1962-11-20
"Cantabrian parliamentary election, 2011",2011-05-22
"Operation Deckhouse Five",1967-01-15
"New York's 23rd congressional district special election, 2009",2009-11-03
"Third Battle of Manzanillo",1898-07-18
"Northern Ireland general election, 1969",1969-02-24
"Battle of Żyrzyn",1863-08-08
"Battle of Cardedeu",1808-12-16
"Battle of Hansan Island",1592-07-08
"1948 FA Charity Shield",1948-10-06
"Bellator Fighting Championships: Season Two  Bellator 21  1",2010-06-10
"Los Angeles mayoral election, 1938",1938-09-16
"Battle of Longwoods",1814-03-04
"Battle of Diamond Hill",1900-06-12
"Belgian general election, 1921",1921-11-20
"Cry of Tarlac",1897-01-24
"European Parliament election, 1989 (Denmark)",1989-06-15
"Battle of Milazzo (1860)",1860-07-17
"Raid at Combahee Ferry",1863-06-02
"2011 League of Ireland Cup Final",2011-09-24
"Action of 18 October 1806",1806-10-18
"Vienna Offensive",1945-04-13
"Glastonbury Festival",2015-06-24
"Angolan War of Independence",1975-11-11
"Battle of Dachen Archipelago",1955-01-19
"Battle of Cogorderos",1811-06-23
"Northern Ireland general election, 1933",1933-11-30
"Battle of Honkaniemi",1940-02-27
"United States Senate election in Vermont, 1922",1922-11-07
"Battle of Chalgrove Field",1643-06-18
"Battle of Gully Ravine",1915-07-05
"1976 All-Ireland Senior Club Hurling Championship Final",1976-03-14
"European Parliament election, 1994",1994-06-12
"Battle of Loudoun Hill",1307-05-10
"South Dakota gubernatorial election, 1998",1998-11-03
"United States presidential election in Alaska, 1964",1964-11-03
"2003 Munster Senior Hurling Championship Final",2003-06-29
"London Assembly election, 2008",2008-05-01
"Battle of Hoyerswerda",1759-09-25
"United States presidential election, 1832",1832-12-05
"Operation Abirey-Halev",1973-10-23
"Siege of Bristol",1326-10-26
"Toulouse Congress, 2012",2012-10-18
"Battle of Hill 282",1950-09-23
"Belfast West by-election, 2011",2011-06-09
"Battle of Wide Bay",1945-03-10
"Battle of Baton Rouge (1862)",1862-08-05
"Taunton by-election, 1701",1701-03-17
"Roscommon–South Leitrim by-election, 2014",2014-10-10
"Operation Warrior's Rage",2005-07-14
"Oregon gubernatorial election, 1930",1930-11-04
"United States presidential election in Michigan, 2008",2008-11-04
"Battle of Worcester",1651-09-03
"2014 Suruga Bank Championship",2014-08-06
"Battle of Szikszó",1588-10-08
"Aniversario: Never Compromise",2013-06-02
"Lambeth London Borough Council election, 2010",2010-05-06
"French Senate election, 2008",2008-09-21
"South Australian state election, 1985",1985-12-07
"2013 FA Vase Final",2013-05-04
"Battle of Bilin River",1942-02-18
"CMLL Universal Championship (2013)",2013-09-06
"Strikeforce: Miami",2010-01-30
"1997 Scottish Challenge Cup Final",1997-11-02
"Egyptian parliamentary election, 1926",1926-05-24
"Battle of Sauce (1816)",1816-12-08
"Proyeccion a Nuevas Promesas (2010)",2010-01-01
"European Parliament election, 2004",2004-06-13
"First Battle of Fort Wagner",1863-07-10
"2009 Johan Cruijff Schaal",2009-07-25
"European Parliament election, 2004 (Netherlands)",2004-06-10
"Pennsylvania gubernatorial election, 1926",1926-11-02
"Thirty Years' War",1618-05-23
"Serbian parliamentary election, 2012",2012-05-06
"Battle of Shimonoseki Straits",1863-07-16
"Battle of Rio Grande City",1859-12-27
"Battle of Zutphen",1586-09-22
"Battle of St. Kitts (1629)",1629-09-07
"Siege of Bastogne",1944-12-27
"Zagreb local elections, 1921",1921-12-11
"Mexican general election, 1952",1952-07-07
"2009 FA Trophy Final",2009-05-09
"Jaipur International Film Festival",2017-01-11
"Capture of HMS Savage",1781-09-06
"Battle of Stony Point",1779-07-16
"Battle of Al Busayyah",1991-02-26
"Hungarian parliamentary election, 2002",2002-04-21
"Judgment Day (2007)",2007-05-20
"Slovenian parliamentary election, 2004",2004-10-03
"Capture of Torrijos Airport",1989-12-19
"2013 Hazfi Cup Final",2013-05-05
"Battle of Kosturino",1915-12-12
"New South Wales state election, 1930",1930-10-25
"Siege of Hulst (1596)",1596-08-18
"Land Battle of Vella Lavella",1943-10-09
"Longueuil municipal election, 2009",2009-11-02
"Canadian federal election, 1972",1972-10-30
"Minnesota House of Representatives District 14A special election, 2013",2013-02-12
"11th Berlin International Film Festival",1961-07-04
"Battle of Bryn Glas",1402-06-22
"United States Senate election in Pennsylvania, 2006",2006-11-07
"UFC 30",2001-02-23
"Quebec general election, 2003",2003-04-14
"Operation Robin",1968-06-19
"Wounded Knee Massacre",1890-12-29
"Scottish Parliament election, 2016",2016-05-05
"1889 Kumamoto earthquake",1889-07-28
"Spanish general election, 1905",1905-09-10
"Battle of Sződfalva",1527-07-25
"Philippine House of Representatives elections in the Zamboanga Peninsula, 2013",2013-05-13
"United States House of Representatives elections in Hawaii, 2010",2010-11-04
"South Korean presidential election, 1948",1948-07-20
"Siege of Mount Hiei",1571-09-29
"Battle of Antrim",1798-06-07
"ECW One Night Stand (2006)",2006-06-11
"Fall of Mogadishu",2006-12-28
"Action of 21 October 1794",1794-10-21
"Operation Bulldog Bite",2010-11-12
"New Jersey gubernatorial election, 1853",1853-11-01
"Singaporean general election, 2015",2015-09-11
"Convoy ON 113",1942-07-31
"Bellator Fighting Championships: Season One  Bellator 5  1",2009-05-01
"Combat of the Côa",1810-07-24
"United States Senate election in Illinois, 1972",1972-11-06
"2002 Cupa României Final",2002-06-05
"English Civil War",1642-08-22
"1994 Northridge earthquake",1994-01-17
"Bear River Massacre",1863-01-29
"Mary Carver Affair",1842-04-24
"1946 FA Cup Final",1946-04-27
"Dutch general election, 1971",1971-03-28
"1909 German football championship",1909-05-30
"Missouri gubernatorial election, 1896",1896-11-03
"1951 All-Ireland Senior Football Championship Final",1951-09-23
"Operation Eagle Pull",1975-04-12
"1872 FA Cup Final",1872-03-16
"Battle of Collierville",1863-11-03
"Factional violence in Libya (2011–14)",2011-11-01
"1982 Football League Cup Final",1982-03-13
"United States Senate election in Florida, 2006",2006-11-07
"Battle of Blandford",1781-04-25
"1993 Guatemalan constitutional crisis",1993-05-25
"First Encirclement Campaign against the Hubei-Henan-Anhui Soviet",1931-03-09
"United Kingdom local elections, 1976",1976-05-06
"Texas gubernatorial election, 1968",1968-11-05
"1973 All-Ireland Under-21 Hurling Championship Final",1973-11-11
"West German federal election, 1949",1949-08-14
"Battle of Prostki",1656-10-08
"2012 Belgian Cup Final",2012-03-24
"Ladies Professional Wrestling Association",1992-02-23
"Iraq War in Anbar Province",2011-12-07
"1983 Kopaonik earthquake",1983-09-10
"Karbala governorate election, 2009",2009-01-31
"Barcelona City Council election, 1999",1999-06-13
"Kansas gubernatorial election, 2014",2014-11-04
"Mehmed II's first Albanian campaign",1452-07-21
"Spanish regional elections, 1983",1983-05-08
"Uruguayan War",1865-02-20
"Valencia City Council election, 2011",2011-05-22
"2010 Norwegian Football Cup Final",2010-11-14
"Operation Leyte Gulf",2007-07-11
"2012 CECAFA Cup Final",2012-12-08
"Mexican general election, 2012",2012-07-01
"1976 Scottish Cup Final",1976-05-01
"Battle of Tel el-Kebir",1882-09-13
"Battle of the Embarras River",1786-04-15
"Battle of Ban Houei Sane",1968-01-24
"Battle of Lechfeld (910)",0910-06-12
"Battle of Fort De Russy",1864-03-14
"United States presidential election in Massachusetts, 2016",2016-11-08
"Navarrese parliamentary election, 2011",2011-05-22
"Uzbekistani parliamentary election, 2009–2010",2010-01-10
"July 1936 military uprising in Seville",1936-07-25
"New Hampshire gubernatorial election, 2004",2004-11-02
"Action of 17 June 1778",1778-06-17
"Virginia gubernatorial election, 1941",1941-11-04
"Manchester Central by-election, 2012",2012-11-15
"European Parliament election, 2004 (Gibraltar)",2004-06-10
"2000 FA Charity Shield",2000-08-13
"Battle of Wana",2004-03-23
"Uttar Pradesh Legislative Assembly election, 1952",1952-03-27
"1966 Tashkent earthquake",1966-04-26
"Operation New Market",2005-05-25
"Qalamoun offensive (June–August 2014)",2014-08-07
"Battle of Albulena",1457-09-02
"Battle of Melrose",1526-07-26
"Galway City Council election, 1999",1999-06-10
"Danish general election, 1960",1960-11-15
"7th Berlin International Film Festival",1957-07-02
"Bulgarian coup d'état of 1923",1923-06-09
"Japanese general election, 1928",1928-02-20
"Valley Forge",1778-06-18
"Alberta general election, 1971",1971-08-30
"Yamuna Pushkaram",2014-06-19
"Invasion of Martinique (1674)",1674-07-21
