title,pos_score_OL,neg_score_OL,pos_score_MPQA,neg_score_MPQA,pos_score_LIWC,neg_score_LIWC,pos_score_ANEW,neg_score_ANEW,length,date,country,continent
Arab–Israeli conflict,4.7211,6.7989,9.0627,8.8741,4.8867,3.7925,1.785,0.9867,78498,1948-05-15,,
Battle of Blenheim,3.2967,1.5699,5.6515,2.1978,2.0408,0.7849,1.2814,0.2418,637,1704-08-13,Germany,Europe
Battle of Świecino,2.5035,2.9207,6.1196,7.2323,3.4771,5.2851,1.5372,0.8672,719,1462-09-17,,
Kosovo War,3.6725,4.7839,6.9032,5.7711,3.6104,3.2997,1.4688,1.0058,14486,1999-06-11,,
Operation Barbarossa,5.3134,6.3713,8.5556,8.2951,4.0497,4.7683,1.9944,1.245,49535,1941-12-05,,
Thirty Years' War,3.35,3.8313,6.0454,4.8132,3.119,2.0601,1.3235,0.2916,5194,1618-05-23,,
USS Liberty incident,5.4104,6.2561,9.2209,7.6384,4.8938,4.1295,2.2478,0.8474,79938,1967-06-08,,
Vietnam War,4.6428,5.8702,8.0054,8.8154,4.1316,4.9951,1.8188,2.0695,129126,1975-04-30,,
World War II,4.9792,5.0461,9.1892,8.8496,4.7933,5.4086,2.0429,1.998,140425,1945-09-02,,
1948 Arab–Israeli War,4.3402,4.9807,8.3537,7.2652,4.1451,3.8482,1.6615,1.3668,107114,1949-07-20,,
Battle of the Atlantic,3.5826,3.1885,6.9809,5.2408,3.1424,2.5078,1.4518,0.5097,19539,1939-09-03,,
Texas Revolution,3.9887,4.2045,7.5072,5.3496,3.6402,2.3235,1.6233,0.5389,18076,1835-10-02,,
Battle of Fort Dearborn,2.649,0.6623,5.9603,3.3113,1.9868,0.6623,1.6738,0.3444,151,1812-08-15,United States,North America
"United States presidential election, 1836",3.36,3.52,6.24,5.28,2.88,0.64,0.72,0.2188,625,1836-12-07,,
Battle of Berestechko,5.8333,2.5,10.0,3.3333,5.0,0.8333,1.1458,0.0,120,1651-06-30,Ukraine,Europe
Russo-Japanese War,2.5233,5.0272,4.0567,5.396,1.9798,1.9216,0.8103,0.5712,5152,1905-09-05,,
Gulf War,3.2154,4.0207,5.6601,5.2344,3.1291,1.9557,1.0814,0.6890000000000001,17385,1995-11-30,,
Battle of Chosin Reservoir,5.1435,4.362,6.9906,7.5732,3.3959,4.7883,2.1054,0.9157,7038,1950-12-13,Dem. Rep. Korea,Asia
Operation Enduring Freedom,3.237,4.934,7.2596,6.4111,3.6769,3.6141,1.3184,0.8640000000000001,3182,2001-10-07,,
Chaco War,2.0078,3.3463,3.8483,3.9598,1.952,2.1751,0.6043,0.5257,1793,1932-09-09,Paraguay,South America
Battle of the Bulge,3.3843,4.0535,6.144,5.8636,3.1804,3.072,1.3372,0.5196,15690,1944-12-16,,
Battle of Britain,5.4917,4.4212,8.6585,7.6539,4.2741,4.3535,2.0985,1.0915,51660,1940-10-31,,
Suez Crisis,2.8754,3.3833,4.5711,3.9977,1.9907,1.7449,1.2301,0.4593,12207,1956-10-29,,
Battle of Trafalgar,5.3236,3.8379,8.5875,6.7642,4.4232,3.4328,1.7199,0.5103,8885,1805-10-21,,
Second Boer War,2.7462,3.9369,4.956,5.2564,2.6496,2.3493,1.2966,1.1368,9322,1902-05-31,,
Bombing of Dresden in World War II,4.147,7.2921,8.1113,10.0101,3.6619,5.0357,1.829,2.2565,97901,1945-02-15,,
Second Intifada,3.9418,6.3762,7.491,7.2322,3.5322,3.5493,1.6456,1.1645,35162,2000-09-28,,
Battle of Jutland,5.6866,6.0394,8.6027,9.0585,4.6034,6.104,2.1403,1.1039,72838,1916-06-01,,
Baralong incidents,2.0496,6.1489,5.3937,7.9827,2.9126,4.6386,1.1872,1.9962,927,1915-09-24,,
Napoleonic Wars,3.7491,3.4827,6.8656,6.0398,3.5626,3.6958,1.5883,1.2355,15017,1815-11-20,,
"United Kingdom general election, 2001",1.6173,2.1563,7.0081,3.2345,3.504,1.8868,1.124,0.1442,371,2001-06-07,,
English Civil War,3.1872,3.2321,6.539,5.8207,2.9627,2.9927,1.0763,1.3362,6683,1642-08-22,,
Battle of Waterloo,4.5758,4.8478,7.1657,7.2944,3.7744,4.1649,1.5205,0.6793,68381,1815-06-18,Belgium,Europe
"United States presidential election, 1920",3.9271,3.9841,7.6266,5.1224,3.7564,2.3335,1.1589,0.4015,1757,1920-11-02,,
Battle of Dien Bien Phu,3.5129,3.8748,5.9825,5.3225,4.0451,2.789,1.3465,1.0365,4697,1954-05-07,Vietnam,Asia
Battle of the Milvian Bridge,3.5644,1.9802,6.3366,1.7822,3.5644,0.7921,1.7743,0.0936,505,0312-10-28,Italy,Europe
"United States presidential election, 1988",3.5119,1.6681,6.6725,1.7559,3.3363,0.6146,2.0235,0.1251,1139,1988-11-08,,
Battle of the Crater,2.5641,5.5944,6.7599,6.2937,3.7296,3.7296,1.8357,0.7902,429,1864-07-30,United States,North America
Battle of Ligny,4.6131,3.0998,6.1997,4.6375,3.5636,2.7337,1.1858,0.3648,4097,1815-06-16,Belgium,Europe
Spanish–American War,4.3959,4.7922,7.3415,6.7509,3.6483,3.6259,1.6352,1.3592,13376,1898-04-25,,
Battle of Dresden,6.25,4.6875,6.25,10.9375,1.5625,4.6875,0.7734,1.0508,64,1813-08-27,Germany,Europe
Battle of Inkerman,4.562,4.3796,7.1168,6.2956,4.4708,4.3796,0.9172,1.6868,1096,1854-11-05,Ukraine,Europe
